"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Vippz Men","4.8","95","87","5","2","1","0","3","men's suits","6","variety of products","9","product quality","2","wonderful pieces","2","customer prioritization","2","promotion","3","location","2","attentive","2","payment methods","3","salesperson"
"Levi's Store","4.3","486","283","124","27","43","9","17","outlet store","16","promotions","3","attentive salespeople","2","cozy atmosphere","2","polite staff","4","product quality","3","attentiveness","2","jeans","4","clothing options","3","attendant"
"Expressiva Homem","4.7","673","553","89","12","12","7","16","suits","4","attentive salespeople","11","quality clothes","17","quality products","3","variety of accessories","3","kind staff","2","options for everyday wear","2","gift for men","2","blazer","4","promotions"
"SPAZZIO","3.3","54","28","1","19","2","4","3","original products","3","free shipping","5","online shopping","2","return","2","packaging","2","first purchase","2","working days","8","website","2","birthday","3","whatsapp"
"Levi's","4.7","139","114","16","2","5","2","5","attentive team","2","well-organized","4","promotions","5","product quality","2","cool clothes","2","product options","2","location","4","friendly","11","salesperson","5","attention"
"Zion Store São Vicente","4.9","236","219","13","2","2","0","2","sneakers","5","variety of products","7","best brands","4","great salespeople","7","customer attention","12","atmosphere","2","shopping experience","3","pieces","4","team","8","notice"
"Levi's Shopping Curitiba",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arauto Jeans - Ceconvest Tubarão","4.2","448","225","134","11","64","14","5","variety of products","2","good quality clothes","2","beautiful pieces","2","product availability","2","accessories","5","few stores","2","jeans options","2","location","7","shopping center","3","news"
"Levi’s - Shopping Pátio Paulista","4.3","192","118","41","14","14","5","7","brand","2","pleasant atmosphere","18","salespeople","2","promotions","3","product quality","4","models","2","size","2","polite","2","replacement","2","kind"
"Levi's","4.2","5","4","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Balneário Shopping","4.5","89","64","13","5","7","0","2","product quality","2","female employees","2","clothes","2","quality clothes",,,,,,,,,,,,
"Levi's - Shopping Itaguaçu","1","1","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Beiramar Shopping","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Atlântico Shopping","4.4","71","49","11","5","6","0","3","location","2","variety",,,,,,,,,,,,,,,,
